key,text



WELCOME,"✨ Olá, bem-vinda ao *Glass Studio*!\nEu sou a *Glassy*, sua assistente virtual, e estou aqui para te ajudar. 😊\n\nO que você gostaria de fazer?\n\n1. Agendar um horário 🗓️\n2. Cancelar um agendamento ❌\n3. Ver serviços e valores 💰\n4. Saber sobre nosso curso 🎓\n5. Falar com uma atendente 👩‍💼\n\n_É só me dizer o número da opção que você quer!_"



PORTFOLIO_CAPTION,"Prontinho! ✨ Aqui está nosso catálogo completo, com todos os detalhes dos serviços e valores que você vai amar!\n\nDá uma olhadinha com carinho e me fala o que achou ou se já quer garantir seu horário! 😉"



PORTFOLIO_SENT,"Portfólio enviado! 📄\nDê uma espiadinha e me conte o que mais gostou."



PORTFOLIO_ERROR,"Ops! 😅 Parece que meu catálogo de serviços deu uma escapadinha...\n\nMas não se preocupe, já chamei a equipe para te ajudar com isso, tá bom? 🥰"



COURSE_INFO,"Que demais seu interesse no nosso curso! 🎓✨\n\nNosso curso de *Nail Lapidação* é super especial, focado em *acabamento e durabilidade* para unhas perfeitas!\n\nA *Katlenn* é a pessoa ideal para te passar todas as informações sobre vagas e valores."



COURSE_INFO_PROMPT,"Posso te transferir pra ela? ✨"



TRANSFER_TO_HUMAN,"Com certeza! 🥰\nJá estou te transferindo para a *Katlenn*. Em instantes, ela vai te chamar por aqui para continuar a conversa, tá bom?\nÉ rapidinho!"



SCHEDULING_REQUEST_DATE,"Claro! Para qual dia você gostaria de agendar? 😊\n\nPode ser, por exemplo: _'amanhã', 'próxima sexta' ou uma data como '25/12'._"



SCHEDULING_NO_PROBLEM_ON_CANCEL,"Tudo bem, sem problemas! Se mudar de ideia ou precisar de outra coisa, é só me chamar. 😊"



SCHEDULING_INVALID_DATE,"Puxa, não consegui entender essa data. 🤔 Você pode tentar 'dd/mm', como '25/12'?"



SCHEDULING_SUNDAY_CLOSED,"Ah, que pena, não funcionamos aos domingos. 😔 Que tal na segunda, dia {next_day}?"



SCHEDULING_PAST_DATE,"Essa data já passou! Vamos tentar uma data no futuro? 😉"



SCHEDULING_NO_SLOTS,"Puxa, para a data informada, não tenho mais horários disponíveis. 😔 Teria outra data em mente?"



SCHEDULING_AVAILABLE_SLOTS,"Perfeito! Para *{formatted_date}*, tenho estes horários:\n\n🕐 *{horarios_str}*\n\nQual você prefere? 😉"



SCHEDULING_ASK_SWITCH_SLOT,"Sim, para esta data são os últimos horários. 😢\nSe quiser, posso te transferir para a *Katlenn* para tentarmos encontrar um horário de encaixe. O que acha?"



SCHEDULING_TRY_ANOTHER_DATE,"Entendido! Vamos tentar de novo. Para qual outra data você gostaria de verificar a disponibilidade? 😊"



SCHEDULING_INVALID_TIME,"Desculpe, não entendi. Por favor, escolha um dos horários da lista: 😊\n🕐 *{horarios_str}* "



SCHEDULING_TIME_CONFIRMED,"✅ Horário escolhido! Para qual serviço seria?\n\n_Ex: Alongamento, Banho de gel, Manutenção..._"



SCHEDULING_REQUEST_SERVICE,"Por favor, me diga qual serviço você gostaria de agendar. 😊"



